"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3700,3800,3999.5,4150,4399.5,4499,4250,4400,4250,4250,4050,4300,4225,4250,4075,4000,4250,4395,4300,4400,4500,4400,4300,4300,4095,3995,4025,4185,3995,3995,4200,4250,4500,4500
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2700,2500,2925,3100,3000,2895,3000,3200,3200,3175,2900,2700,2600,2900,2990,3050,3100,2750,3150,2800,2937.5,3000,3000,2975,2962.5,3000,3100,3200,3500,3250,3299.5,3425,3275
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,1995,1900,2075,2025,2000,1997.5,2000,1950,2000,1995,1895,1922.5,1995,2000,2000,2100,2100,1995,1950,1950,1995,1800,1850,1800,1850,1872.5,1850,1812.5,1800,1825,1950,2000,1995,1885,1800,1800
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875,2750,2625,2750,2750,2700,2625,2600,2500,2500,2500,2750
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,1795,1800,1900,1797.5,1800,1895,1895,1895,1924.5,1950,1925,1895,1762.5,1850,1699.5,1650,1650,1695,1675,1700,1650,1650,1650,1650,1699,1700,1700,1700,1695,1700,1725,1795,1795,1700,1700,1700,1750,1750,1750,1800,1785,1800,1800,1800,1785,1795,1800,1795,1825,1850,1850,1875,1950,1895,1900,1900,1800,1832.5,1950,1895,1950,1995,1995,2000,2087.5,1900,1957.5,1997.5,1995,1985,1895,1900,1975,2000,2100,2200,2100,2067.5,2100,2000,2000,2010,2095,2097.5,2095,2195,2295,2250,2200,2200,2270,2295,2275,2244,2200,2350,2200,2213,2396.5,2495,2500,2400,2399.5,2300,2322.5
"San Diego","CA","San Diego-Carlsbad","San Diego County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5200,4900,4500,4925,5000,4995,5100,4750,4750,4995,4895,5500,5050,4900,4847.5,4950,4800,4625,5000,5000,4550,4700,5000,4997.5,5000,5400,5500,5450,5224.5,5250,5000,5600,5300
"Austin","TX","Austin-Round Rock","Travis County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4097.5,3995,3862.5,3900,3895,3800,3750,3800,3600,3800,4200,4725,4750
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,4372.5,4325,4400,4550,4647.5,4300,4200,4225,4200,4125,4195,4175,4200,4275,4447.5,4972.5,4950,4850,4650,4500,4500,4287.5,4450,4350,4549.5,4800,4800,4395,4750,4700,4500,4400,4200
"Jacksonville","FL","Jacksonville","Duval County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.5,1600,1597.5,1650,1735,1947.5,1850,1950,1845,1975,1850,1820,1810,1627.5,1632.5,1722.5,1750,1906.5,1750,1700,1793,1682.5,1682.5,1500,1681.5,1650,1800,1849.5,1750,1650,1750,1695,1595,1672.5
"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,2175,2175,2195,2199,2162.5,2197.5,2145,2122.5,1995,2050,2095,2162.5,2050,1997.5,2145,2050,2262.5,2210.5,2195,2200,2200,2195,2100,2100,2099,2212.5,2285,2300,2295,2300,2237.5,2200,2200
