"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"New York","NY","New York-Newark-Jersey City","Queens County",1,1972.5,2300,2497,2200,2300,2200,1900,1950,2100,2000,2350,2100,1900,2000,2000,2045,2047.5,2100,2200,2195,2147,2100,2095,2095,2100,2100,2150,2195,2195,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2233,2290,2280,2299,2300,2295,2300,2295,2295,2300,2333,2300,2270,2292,2300,2300,2300,2320,2330,2350,2400,2395,2400,2395,2400,2400,2400,2375,2350,2350,2350,2350,2350,2325,2349,2350,2350,2310,2350,2375,2199,2295,2400,2400,2440,2470,2475,2490,2450,2400,2375,2350,2350,2310,2350,2374,2400,2400,2425,2400,2400,2395,2350,2350,2328,2340,2350,2400,2440,2450,2475,2450,2450,2400,2400
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,896.5,895,945,950,950,925,905,950,995,965,985,959,980,1050,1073,1052.5,1095,1095,1034,1105,1095,1095,950,1050,1098,1095,1050,1075,1135,1195,1275,1330,1295,1295,1275,1335,1340,1345,1375,1395,1375,1425.5,1445,1440,1425,1450,1425,1395,1500,1550,1610,1584,1675,1595,1695,1550,1595,1532.5,1550,1452.5,1500,1725,1941,1826,1750,1875,1975,1965,1974,1935,1875,1890,1860,1871.5,1870,1858,1895,1820,1893,1925,1889,1905,1896,1806,1841.5,1882,1900,1977,1965,1970,1935,1910,1900,1850
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1195,1215,1200,1170,1195,1239,1239,1269,1250,1200,1228,1227,1350,1349,1349,1325,1312,1350,1313,1320,1282.5,1250,1260,1244.5,1242,1254,1280,1140,1145,1235,1235
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1450,1425,1400,1472.5,1450,1400,1300,1500,1600,1600,1750,1500,1415,1350,1350,1373.5,1345,1300,1300,1349,1314,1288,1295,1270,1225,1220,1275,1295,1289,1340,1396,1400,1395,1395,1388,1400,1430,1415,1400,1434,1441.5,1450,1495,1500,1495,1450,1475,1485,1465,1450,1450,1495,1530.5,1585,1500,1600,1595,1516,1475,1528.5,1629,1550,1500,1531,1550,1525,1500,1550,1550,1550,1525,1525,1565,1517,1500,1495,1450,1450,1450,1450,1500,1504.5,1496.5,1500,1499,1495,1490,1477,1495,1500,1536,1552,1550,1544,1512,1516.5,1500,1490,1450,1464,1485,1500,1515,1492,1475,1475,1475,1500,1463,1568.5,1535,1497,1450,1410,1426.5,1455,1400
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,748,750,823,800,910.5,906,845,839,860.5,935,937,900,949.5,935,892,899,992.5,955,965,995,995,1045,1099.5,1075,1035,1082.5,1092.5,1006,1023,1085,990,989,979,975
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,837.5,750,750,715,750,750,780,850,800,845,800,845,830,830,795,800,750,825,850,820,802.5,795,800,890,875,890,850,795,795,815,895,975,895,950,950,900,970,1000,835,915,885,950,1000,995,995,950,940,940,935,995,975,995,995,1000,1050,1050,1032.5,999,1032.5,1045,1100,980,1035,1045,1045,1090,1050,1092.5,1050,1050.5,1100,1098.5,1100,1100,1095,1177,1144,1200,1190,1195,1169,1170,1199,1175,1195,1295,1300,1295,1295,1250,1230,1195,1195,1195,1200,1150,1150
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1500,1540,1560,1550,1500,1589,1600,1650,1680,1680,1400,1450,1584,1550,1570,1595,1450,1495,1617,1390,1543,1395,1410,1556,1685,1745,1677.5,1725,1743,1672.5,1738,1626.5,1673,1650,1624,1666,1737.5,1769.5,1775,1850,1850,1869.5,1881,1870,1835,1800,1832,1853,1844,1799,1765,1799,1806,1860,1856,1852,1850,1769.5
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",8,,,,,,,,,,,,,,,,,,,,725,700,700,699,649,675,747,750,850,859,775,700,725,750,809,856,850,796,825,850,789,789,845.5,850,895,930,975,977.5,969.5,940,950,959.5,950,1050,1034,1040,995,1044.5,1096,1049,1050,1035,1025.5,1072.5,1050,1081,1150,1172.5,1058,999.5,1070,1079,1055,1030,1024,1125,1155,1053,1103,1095,1097.5,1152,1151,1097,1170,1170,1165,1165,1167.5,1182.5,1192,1231.5,1239.5,1245,1266.5,1279,1290.5,1300,1260,1258,1225,1205,1200,1225,1205,1229,1240,1225,1224.5,1225,1245,1231,1240,1242.5,1265,1260,1277,1272.5
"Austin","TX","Austin-Round Rock","Travis County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1350,1395,1400,1400,1400,1475,1450,1400,1450,1500,1525,1500,1500,1550,1575,1600,1600,1595,1595,1595,1600,1650,1625,1604.5,1650,1675,1750,1700,1725,1725,1700,1625,1595,1600,1612,1620,1553,1600,1675,1695,1650,1650,1600,1600,1650,1695,1700,1695,1740,1710,1750,1750,1725,1700,1695,1665,1675,1650,1666,1680,1695,1700,1735,1750,1750,1700,1700,1695,1695,1695,1695,1675,1738.5,1750,1750,1750,1750,1725,1725
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2147.5,2120,2117.5,2195,2144.5,2223,2315,2395,2370,2340,2365,2368.5,2310,2330,2290,2200,2242.5,2285,2370,2047.5,2205,2058,2135,2074,2255,2230,2300,2253,2233,2302.5,2291,2260,2203,2277,2247,2195,2200,2185.5,2242,2304,2376.5,2400,2395,2500,2475,2438.5,2350,2350,2340,2348,2451,2458,2559.5,2598,2625,2577,2554,2500
