"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"New York","NY","New York-Newark-Jersey City","Queens County",0,2389.72,0.0107,0.0179,0.0314,2093739
2019-10-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,2829.38,0.0073,0.0142,0.0269,821734
2019-10-31,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",2,1379.67,0.0054,0.0089,-0.0067,889657
2019-10-31,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,1706.01,-0.0101,0.0007,0.0116,803950
2019-10-31,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,1201.35,0.005,0.0062,0.0028,516350
2019-10-31,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,1356.02,0.0048,0.0185,0.0222,553650
2019-10-31,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,1405.6,0.0179,0.0361,0.0717,517347
2019-10-31,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,1363.84,0.0145,0.0279,0.0521,575762
2019-10-31,"San Diego","CA","San Diego-Carlsbad","San Diego County",8,2605.51,0.0069,0.0168,0.0426,405365
2019-10-31,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,1485.58,0.0021,0.0068,0.0056,371934
2019-10-31,"Austin","TX","Austin-Round Rock","Travis County",10,1643.17,0.0069,0.0162,0.0375,344057
2019-10-31,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",11,3156.94,-0.0034,-0.0008,0.0023,257120
2019-10-31,"Jacksonville","FL","Jacksonville","Duval County",12,1214.4,0.0142,0.0223,0.0233,333900
2019-10-31,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",13,1019.64,0.0139,0.017,0.0102,289564
2019-10-31,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",14,4242.93,-0.0112,-0.0066,0.0069,181191
2019-10-31,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,1400.74,0.0106,0.0219,0.0385,329054
2019-10-31,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",16,1390.37,0.0083,0.0116,0.0245,282684
2019-10-31,"Tucson","AZ","Tucson","Pima County",17,1227.84,0.0133,0.0249,0.0546,249020
2019-10-31,"Columbus","OH","Columbus","Franklin County",18,1138.47,0.0075,0.0078,-0.0237,263347
2019-10-31,"Louisville","KY","Louisville/Jefferson County","Jefferson County",19,1090.17,0.0034,0.0177,0.0064,255165
2019-10-31,"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",20,1441.92,0.0134,0.0225,0.0315,266833
2019-10-31,"El Paso","TX","El Paso","El Paso County",21,952.3,0.007,0.0139,-0.0166,198987
2019-10-31,"Detroit","MI","Detroit-Warren-Dearborn","Wayne County",22,845.57,0.019,0.0252,0.0127,270237
2019-10-31,"Denver","CO","Denver-Aurora-Lakewood","Denver County",23,1858.21,0.0002,0.0062,0.0214,258323
2019-10-31,"Seattle","WA","Seattle-Tacoma-Bellevue","King County",24,2276.8,-0.0062,0.0066,0.0178,254648
2019-10-31,"Memphis","TN","Memphis","Shelby County",25,949.62,0.0135,0.0241,0.0092,221512
2019-10-31,"Boston","MA","Boston-Cambridge-Newton","Suffolk County",26,2850.52,0.0022,0.0088,0.0936,239697
2019-10-31,"Washington","DC","Washington-Arlington-Alexandria","District of Columbia",27,2364.67,0.003,0.0098,0.0165,219917
2019-10-31,"Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",28,1771.58,0.0185,0.0312,0.0298,246782
2019-10-31,"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",29,1526.86,0.0087,0.0177,0.012,251656
2019-10-31,"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",30,1690.28,0.0086,0.0207,0.0331,185524
2019-10-31,"Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",31,1253.85,-0.0081,-0.0098,-0.0362,215335
2019-10-31,"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",32,1002.29,0.0105,0.0474,0.0788,149439
2019-10-31,"Fresno","CA","Fresno","Fresno County",33,1324.55,0.0128,0.0247,0.0435,152625
2019-10-31,"Omaha","NE","Omaha-Council Bluffs","Douglas County",34,1152.87,-0.008,-0.0079,-0.031,182011
2019-10-31,"Albuquerque","NM","Albuquerque","Bernalillo County",35,1169.79,0.0154,0.029,0.027,185422
2019-10-31,"Oklahoma City","OK","Oklahoma City","Oklahoma County",36,943.97,0.0065,0.0118,0.0143,186364
2019-10-31,"Raleigh","NC","Raleigh","Wake County",37,1304.7,0.0062,0.0121,0.0209,178199
2019-10-31,"Mesa","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",38,1429.02,0.02,0.0374,0.0702,172248
2019-10-31,"Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",39,2125.86,0.0059,0.0088,0.0013,200994
2019-10-31,"Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",40,1708.56,0.0096,0.0137,0.0276,214144
2019-10-31,"Kansas City","MO","Kansas City","Jackson County",41,1126.23,0.0026,0.0049,0.0051,181205
2019-10-31,"Colorado Springs","CO","Colorado Springs","El Paso County",42,1460.91,0.0074,0.0173,0.0234,172318
2019-10-31,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",43,2318.81,-0.003,-0.0009,0.0076,112762
2019-10-31,"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",44,1551.73,0.0094,0.0166,0.004,170634
2019-10-31,"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",45,2932.21,-0.0097,-0.0021,-0.0015,108455
2019-10-31,"Tulsa","OK","Tulsa","Tulsa County",46,916.29,0.0099,0.0147,0.0132,140650
2019-10-31,"Minneapolis","MN","Minneapolis-St. Paul-Bloomington","Hennepin County",47,1593.75,-0.0079,-0.0046,-0.0013,130497
2019-10-31,"Honolulu","HI","Urban Honolulu","Honolulu County",48,2336.56,-0.0199,-0.0228,-0.0223,142449
2019-10-31,"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",49,964.78,0.0202,0.0261,0.0192,130203
2019-10-31,"New Orleans","LA","New Orleans-Metairie","Orleans Parish",50,1453.66,0.0046,0.0072,0.0232,15885
2019-10-31,"Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",51,1326.05,0.0106,0.012,0.0081,114236
2019-10-31,"Knoxville","TN","Knoxville","Knox County",52,1162.54,0.0005,0.0053,0.0143,140396
2019-10-31,"Baton Rouge","LA","Baton Rouge","East Baton Rouge Parish",53,1168.29,0.0002,-0.0159,-0.0212,62942
2019-10-31,"Wichita","KS","Wichita","Sedgwick County",54,849.57,0.0182,0.023,-0.0073,137779
2019-10-31,"Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",55,1504.14,0.01,0.02,0.0295,147105
2019-10-31,"Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",56,1662.9,0.0056,0.0087,0.0106,134919
2019-10-31,"Riverside","CA","Riverside-San Bernardino-Ontario","Riverside County",57,2076.02,0.0096,0.02,0.0527,85779
2019-10-31,"Bakersfield","CA","Bakersfield","Kern County",58,1265.65,0.0204,0.0347,0.0467,112845
2019-10-31,"Cincinnati","OH","Cincinnati","Hamilton County",59,1247.76,0.0336,0.053,0.0543,105970
2019-10-31,"Pittsburgh","PA","Pittsburgh","Allegheny County",60,1280.34,0.0056,0.0007,0.0423,122014
2019-10-31,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County",61,2495.53,0.0095,0.0147,0.0334,69679
2019-10-31,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange County",62,2444.08,0.0011,0.0081,0.0293,53963
2019-10-31,"Columbia","SC","Columbia","Richland County",63,1012.75,-0.0028,-0.002,-0.0009,106696
2019-10-31,"Town of Islip","NY","New York-Newark-Jersey City","Suffolk County",64,2542.7,-0.0053,0.0029,0.0248,19856
2019-10-31,"Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",65,1487.56,0.0149,0.0238,0.0325,115534
2019-10-31,"Vancouver","WA","Portland-Vancouver-Hillsboro","Clark County",66,1639.22,0.0118,0.0225,0.0135,106756
2019-10-31,"Corpus Christi","TX","Corpus Christi","Nueces County",67,1312.96,0.0021,0.0069,-0.0012,101863
2019-10-31,"Saint Louis","MO","St. Louis","Saint Louis City",68,907.78,0.0127,0.0297,0.0498,118834
2019-10-31,"Greensboro","NC","Greensboro-High Point","Guilford County",69,950.54,0.014,0.0373,0.04,109840
2019-10-31,"Lexington","KY","Lexington-Fayette","Fayette County",70,1067.08,0.0028,0.0094,0.0435,106157
2019-10-31,"Fort Wayne","IN","Fort Wayne","Allen County",71,980.23,0.006,0.0254,0.0066,107836
2019-10-31,"Silver Spring","MD","Washington-Arlington-Alexandria","Montgomery County",72,1881,0.0156,0.0262,0.0457,91286
2019-10-31,"Toledo","OH","Toledo","Lucas County",73,859.27,0.0118,0.0226,0.0082,106887
2019-10-31,"Anchorage","AK","Anchorage","Anchorage Borough",74,1614.68,0.0112,0.0127,-0.0029,98896
2019-10-31,"Saint Paul","MN","Minneapolis-St. Paul-Bloomington","Ramsey County",75,1373.57,-0.0029,0.0043,0.0088,82421
